30, 31, 18
31, 30, 18
32, 30, 18
32, 31, 17
31, 31, 17
30, 31, 17
31, 30, 17
31, 31, 18
31, 30, 19
30, 31, 19
33, 30, 18
32, 31, 18
32, 30, 19
29, 30, 21
29, 31, 20
30, 30, 20
29, 30, 20
32, 29, 20
31, 29, 20
29, 32, 19
29, 31, 19
30, 30, 19
29, 30, 19
33, 29, 19
32, 29, 19
31, 29, 19
30, 32, 18
29, 32, 18
29, 31, 18
30, 30, 18
29, 30, 18
33, 29, 18
32, 29, 18
31, 29, 18
32, 32, 17
31, 32, 17
30, 32, 17
29, 32, 17
29, 31, 17
30, 30, 17
29, 30, 17
34, 29, 18
33, 31, 17
34, 30, 17
33, 30, 17
32, 30, 17
33, 29, 17
32, 29, 17
31, 29, 17
34, 28, 17
33, 28, 17
32, 28, 17
33, 32, 16
32, 32, 16
31, 32, 16
30, 32, 16
29, 32, 16
32, 31, 16
31, 31, 16
30, 31, 16
29, 31, 16
31, 30, 16
30, 30, 16
29, 30, 16
30, 29, 16
29, 29, 16
35, 29, 18
31, 32, 18
31, 31, 19
31, 30, 20
30, 32, 19
30, 31, 20
30, 30, 21
29, 32, 20
29, 31, 21
29, 30, 22
28, 30, 23
29, 29, 23
34, 31, 17
34, 30, 18
34, 29, 19
33, 32, 17
33, 31, 18
33, 30, 19
33, 29, 20
32, 32, 18
32, 31, 19
32, 30, 20
32, 29, 21
28, 31, 22
28, 30, 22
30, 29, 22
29, 29, 22
35, 31, 17
35, 30, 18
28, 32, 21
28, 31, 21
28, 30, 21
27, 30, 21
31, 29, 21
30, 29, 21
29, 29, 21
28, 33, 20
28, 32, 20
28, 31, 20
28, 30, 20
27, 30, 20
30, 29, 20
29, 29, 20
32, 28, 20
31, 28, 20
29, 33, 19
28, 33, 19
28, 32, 19
28, 31, 19
28, 30, 19
30, 29, 19
29, 29, 19
33, 28, 19
32, 28, 19
31, 28, 19
30, 33, 18
29, 33, 18
28, 32, 18
28, 31, 18
27, 30, 19
28, 30, 18
30, 29, 18
29, 29, 18
34, 28, 18
33, 28, 18
32, 28, 18
31, 28, 18
32, 33, 17
31, 33, 17
30, 33, 17
28, 33, 18
29, 33, 17
28, 32, 17
28, 31, 17
28, 30, 17
30, 29, 17
29, 29, 17
31, 28, 17
35, 27, 17
34, 27, 17
33, 27, 17
32, 27, 17
33, 33, 16
32, 33, 16
31, 33, 16
30, 33, 16
29, 33, 16
28, 31, 16
28, 30, 16
28, 29, 16
30, 28, 16
29, 28, 16
28, 32, 16
36, 30, 17
35, 30, 17
36, 29, 17
35, 29, 17
34, 29, 17
35, 28, 17
35, 32, 16
34, 32, 16
35, 31, 16
34, 31, 16
33, 31, 16
34, 30, 16
33, 30, 16
32, 30, 16
33, 29, 16
32, 29, 16
31, 29, 16
34, 28, 16
33, 28, 16
32, 28, 16
31, 28, 16
35, 27, 16
34, 27, 16
33, 27, 16
32, 27, 16
31, 27, 16
36, 26, 16
35, 26, 16
34, 26, 16
33, 26, 16
32, 26, 16
34, 33, 15
